timestamp,x_m,y_m,magnitude_h2,laser_distance_cm
2026-05-13T12:37:38.215655,-0.0016,0.1947,0.174875,4.900
2026-05-13T12:37:38.234562,-0.0013,0.1859,0.182404,4.900
2026-05-13T12:37:38.255534,-0.0013,0.1859,0.261960,4.900
2026-05-13T12:37:38.275515,-0.0013,0.1859,0.405264,5.000
2026-05-13T12:37:38.296494,-0.0013,0.1859,0.527217,5.000
2026-05-13T12:37:38.317538,-0.0013,0.1859,0.315121,5.100
2026-05-13T12:37:38.337452,-0.0013,0.1859,0.288181,5.100
2026-05-13T12:37:38.358511,-0.0009,0.1757,0.198249,4.900
2026-05-13T12:37:38.378413,-0.0009,0.1757,0.128348,4.900
2026-05-13T12:37:38.398544,-0.0009,0.1757,0.038234,4.900
2026-05-13T12:37:38.420434,-0.0009,0.1757,0.158205,5.000
2026-05-13T12:37:38.439346,-0.0009,0.1757,0.101322,5.000
2026-05-13T12:37:38.461396,-0.0009,0.1757,0.254935,4.900
2026-05-13T12:37:38.480299,-0.0009,0.1757,0.309738,4.900
2026-05-13T12:37:38.501287,-0.0004,0.1671,0.232379,4.900
2026-05-13T12:37:38.522329,-0.0004,0.1671,0.162914,4.800
2026-05-13T12:37:38.542252,-0.0004,0.1671,0.063810,4.800
2026-05-13T12:37:38.563302,-0.0004,0.1671,0.143446,4.800
2026-05-13T12:37:38.583212,-0.0004,0.1671,0.257038,4.800
2026-05-13T12:37:38.604261,-0.0004,0.1671,0.269702,4.900
2026-05-13T12:37:38.624174,-0.0004,0.1671,0.182349,4.900
2026-05-13T12:37:38.644164,-0.0004,0.1577,0.213404,4.900
2026-05-13T12:37:38.666207,-0.0004,0.1577,0.199126,4.900
2026-05-13T12:37:38.685694,-0.0004,0.1577,0.232501,4.900
2026-05-13T12:37:38.707149,-0.0004,0.1577,0.149645,5.000
2026-05-13T12:37:38.726062,-0.0004,0.1577,0.147747,5.000
2026-05-13T12:37:38.747042,-0.0004,0.1577,0.155007,5.000
2026-05-13T12:37:38.768107,-0.0006,0.1488,0.288764,4.800
2026-05-13T12:37:38.788007,-0.0006,0.1488,0.156651,4.800
2026-05-13T12:37:38.809060,-0.0006,0.1488,0.076474,4.900
2026-05-13T12:37:38.828969,-0.0006,0.1488,0.062994,4.900
2026-05-13T12:37:38.848946,-0.0006,0.1488,0.106639,4.900
2026-05-13T12:37:38.869929,-0.0006,0.1488,0.208163,4.900
